Date,Open,Close,High,Low
2014-04-14,1.3821,1.3836,1.3865,1.3807
2014-04-11,1.3885,1.3886,1.3907,1.3862
2014-04-10,1.3888,1.3854,1.3899,1.3834
2014-04-09,1.3856,1.3794,1.3862,1.3778
2014-04-08,1.3796,1.3739,1.3813,1.3735
2014-04-07,1.3741,1.3695,1.3749,1.3688
2014-04-04,1.3703,1.3718,1.3732,1.3671
2014-04-03,1.372,1.3766,1.3807,1.3697
2014-04-02,1.3767,1.3791,1.3821,1.3751
2014-04-01,1.3794,1.3767,1.3817,1.3766
2014-03-31,1.3771,1.3754,1.3807,1.3733
2014-03-28,1.3753,1.3739,1.3773,1.3704
2014-03-27,1.374,1.378,1.3798,1.3727
2014-03-26,1.3783,1.3825,1.3829,1.3775
2014-03-25,1.3827,1.3837,1.3848,1.3748
2014-03-24,1.3839,1.3791,1.3876,1.3759
2014-03-21,1.3794,1.3777,1.3814,1.3764
2014-03-20,1.3779,1.3831,1.3845,1.3748
2014-03-19,1.3833,1.3932,1.3935,1.3808
2014-03-18,1.3934,1.392,1.3942,1.3879
2014-03-17,1.3922,1.3909,1.3949,1.3877
2014-03-14,1.3915,1.3866,1.3937,1.3846
2014-03-13,1.3869,1.3902,1.3968,1.3843
2014-03-12,1.3903,1.3859,1.3915,1.3841
2014-03-11,1.386,1.3874,1.388,1.3832
2014-03-10,1.3877,1.3874,1.3898,1.386
2014-03-07,1.3878,1.3858,1.3917,1.3852
2014-03-06,1.3861,1.3731,1.3874,1.372
2014-03-05,1.3733,1.3742,1.3746,1.3706
2014-03-04,1.3743,1.3733,1.3782,1.3719
2014-03-03,1.3735,1.3785,1.3793,1.3724
2014-02-28,1.3802,1.3707,1.3824,1.3692
2014-02-27,1.3709,1.3686,1.3727,1.3641
2014-02-26,1.3688,1.3743,1.3758,1.366
2014-02-25,1.3745,1.3734,1.3766,1.3714
2014-02-24,1.3735,1.3734,1.377,1.3707
2014-02-21,1.374,1.3717,1.376,1.3701
2014-02-20,1.3719,1.3732,1.3762,1.3685
2014-02-19,1.3733,1.3756,1.3774,1.3723
2014-02-18,1.3758,1.3705,1.377,1.3693
2014-02-17,1.3708,1.3686,1.3725,1.3685
2014-02-14,1.3693,1.3679,1.3718,1.3672
2014-02-13,1.3681,1.3592,1.3694,1.3584
2014-02-12,1.3595,1.3637,1.3655,1.3561
2014-02-11,1.3639,1.3645,1.3685,1.3628
2014-02-10,1.3646,1.3631,1.3654,1.3607
2014-02-07,1.3635,1.3588,1.3642,1.3551
2014-02-06,1.359,1.3531,1.3621,1.3483
2014-02-05,1.3533,1.3518,1.3555,1.3497
2014-02-04,1.3519,1.3523,1.3539,1.3492
2014-02-03,1.3525,1.3492,1.3536,1.3475
2014-01-31,1.3487,1.3555,1.357,1.3478
2014-01-30,1.3556,1.3661,1.3666,1.3542
2014-01-29,1.3663,1.3667,1.3685,1.3602
2014-01-28,1.3669,1.3672,1.3689,1.3628
2014-01-27,1.3672,1.3675,1.3718,1.3652
2014-01-24,1.3678,1.3694,1.3741,1.3662
2014-01-23,1.3695,1.3546,1.3699,1.3529
2014-01-22,1.3547,1.3558,1.3583,1.3533
2014-01-21,1.3561,1.355,1.3572,1.3515
2014-01-20,1.3552,1.3541,1.357,1.3506
2014-01-17,1.3541,1.3618,1.3623,1.3515
2014-01-16,1.362,1.3603,1.365,1.3581
2014-01-15,1.3605,1.3678,1.3684,1.358
2014-01-14,1.3679,1.3669,1.3699,1.3647
2014-01-13,1.3672,1.3668,1.3685,1.3636
2014-01-10,1.367,1.3607,1.3689,1.3574
2014-01-09,1.3608,1.3574,1.3636,1.3547
2014-01-08,1.3576,1.3615,1.3637,1.3552
2014-01-07,1.3616,1.3626,1.3657,1.3595
2014-01-06,1.3628,1.3588,1.3653,1.357
2014-01-03,1.3588,1.367,1.3674,1.3581
2014-01-02,1.3672,1.3754,1.3777,1.3628
2014-01-01,1.3754,1.374,1.3769,1.374
2013-12-31,1.3746,1.3802,1.3813,1.3741
2013-12-30,1.3804,1.3742,1.3821,1.3727
2013-12-27,1.3742,1.3691,1.3893,1.3685
2013-12-26,1.3692,1.3679,1.3701,1.3661
2013-12-25,1.368,1.3682,1.371,1.3659
2013-12-24,1.3684,1.3695,1.3704,1.3653
2013-12-23,1.3696,1.3669,1.3716,1.3665
2013-12-20,1.3672,1.3662,1.3709,1.3623
2013-12-19,1.3663,1.3684,1.3694,1.3648
2013-12-18,1.3685,1.3768,1.3811,1.3673
2013-12-17,1.3768,1.376,1.3782,1.3722
2013-12-16,1.3761,1.3739,1.3798,1.3723
2013-12-13,1.3743,1.3753,1.3769,1.3708
2013-12-12,1.3755,1.3786,1.3803,1.3735
2013-12-11,1.3785,1.3759,1.381,1.3739
2013-12-10,1.3761,1.3736,1.3795,1.3731
2013-12-09,1.3739,1.3719,1.3745,1.3692
2013-12-06,1.3705,1.3666,1.3706,1.3627
2013-12-05,1.3667,1.3593,1.3677,1.3542
2013-12-04,1.3594,1.3588,1.3604,1.3527
2013-12-03,1.359,1.354,1.3613,1.3522
2013-12-02,1.3541,1.3588,1.3616,1.3524
2013-11-29,1.3591,1.3604,1.3621,1.3578
2013-11-28,1.3605,1.3579,1.3617,1.3562
2013-11-27,1.3579,1.357,1.3612,1.3556
2013-11-26,1.3572,1.3516,1.3574,1.3513
2013-11-25,1.3517,1.3548,1.3559,1.3489
2013-11-22,1.3558,1.3481,1.3558,1.3461
2013-11-21,1.3482,1.3439,1.3486,1.3398
2013-11-20,1.3439,1.3538,1.3577,1.3415
2013-11-19,1.3539,1.3503,1.3547,1.3486
2013-11-18,1.3505,1.35,1.3541,1.3473
2013-11-15,1.3496,1.3458,1.3505,1.3431
2013-11-14,1.3459,1.3486,1.3497,1.3417
2013-11-13,1.3486,1.3434,1.3495,1.3389
2013-11-12,1.3436,1.3406,1.3456,1.3358
2013-11-11,1.3406,1.3361,1.3416,1.3343
2013-11-08,1.3372,1.3419,1.3438,1.3316
2013-11-07,1.3419,1.3512,1.3528,1.3295
2013-11-06,1.3513,1.3473,1.3547,1.3466
2013-11-05,1.3475,1.3513,1.3522,1.3448
2013-11-04,1.3516,1.3487,1.3524,1.3441
2013-11-01,1.3487,1.3582,1.3589,1.3478
2013-10-31,1.3584,1.3734,1.3738,1.3574
2013-10-30,1.3736,1.3744,1.3784,1.3695
2013-10-29,1.3745,1.3783,1.3813,1.3735
2013-10-28,1.3784,1.3802,1.3817,1.3774
2013-10-25,1.3805,1.38,1.3832,1.3773
2013-10-24,1.38,1.3775,1.3825,1.3763
2013-10-23,1.3777,1.3781,1.3792,1.3739
2013-10-22,1.3781,1.3681,1.3792,1.366
2013-10-21,1.3682,1.3686,1.369,1.3649
2013-10-18,1.3684,1.3674,1.3703,1.3658
2013-10-17,1.3676,1.3534,1.3681,1.3514
2013-10-16,1.3535,1.3522,1.3567,1.3472
2013-10-15,1.3523,1.356,1.3571,1.3478
2013-10-14,1.3561,1.3543,1.3597,1.3542
2013-10-11,1.3542,1.3518,1.3581,1.3516
2013-10-10,1.352,1.3523,1.3545,1.3487
2013-10-09,1.3524,1.3572,1.3604,1.3485
2013-10-08,1.3573,1.3581,1.3607,1.3556
2013-10-07,1.3582,1.3555,1.3591,1.3541
2013-10-04,1.3558,1.3617,1.3631,1.3537
2013-10-03,1.3618,1.3576,1.3645,1.3575
2013-10-02,1.3579,1.3524,1.3606,1.3506
2013-10-01,1.3526,1.3526,1.3588,1.3515
2013-09-30,1.3526,1.3478,1.3555,1.3466
2013-09-27,1.3522,1.3486,1.3564,1.3472
2013-09-26,1.3489,1.3525,1.3528,1.347
2013-09-25,1.3526,1.3472,1.3537,1.346
2013-09-24,1.3474,1.3492,1.3518,1.3463
2013-09-23,1.3493,1.3545,1.3555,1.3478
2013-09-20,1.3524,1.3529,1.3548,1.3496
2013-09-19,1.353,1.352,1.3568,1.3499
2013-09-18,1.3522,1.3358,1.3541,1.3337
2013-09-17,1.3359,1.3332,1.3369,1.3324
2013-09-16,1.3334,1.3305,1.3385,1.3295
2013-09-13,1.3294,1.3297,1.3321,1.3253
2013-09-12,1.3299,1.3308,1.3324,1.3259
